target,unit_format,model,val_mae,val_mse,val_rmse,val_R2,test_mae,test_mse,test_rmse,test_R2
C_C_chemokine_receptor_type_3_str_act_minus,ic50,rf,,,,,0.0401792,0.0155564,0.1247252,0.9015357
C_src_tyrosine_kinase_str_act_plus,ic50,ChemProp_DMPNN,0.02757,0.005845,0.076452,0.454378,0.02379,0.005491,0.074103,0.628223
C_src_tyrosine_kinase_str_act_plus,ic50,MPNN_net,0.0353641,0.008521,0.0923093,0.2045694,0.0328983,0.0069002,0.0830673,0.5328359
C_src_tyrosine_kinase_str_act_plus,ic50,svm,,,,,0.0280672,0.0059957,0.0774321,0.5940694
C_src_tyrosine_kinase_str_act_plus,ic50,xgboost,,,,,0.0334173,0.0066384,0.0814762,0.5505612
C_src_tyrosine_kinase_str_act_plus,ic50,rf,,,,,0.0256542,0.006729,0.0820302,0.5444279
C_src_tyrosine_kinase_str_act_minus,ic50,ChemProp_DMPNN,0.121318,0.038162,0.195352,0.538869,0.121518,0.041226,0.203043,0.504931
C_src_tyrosine_kinase_str_act_minus,ic50,MPNN_net,0.1356472,0.053851,0.2320582,0.349299,0.13098,0.0490877,0.2215575,0.4105258
C_src_tyrosine_kinase_str_act_minus,ic50,svm,,,,,0.1002372,0.0350963,0.1873401,0.5785434
C_src_tyrosine_kinase_str_act_minus,ic50,xgboost,,,,,0.1169759,0.0389211,0.1972842,0.5326134
C_src_tyrosine_kinase_str_act_minus,ic50,rf,,,,,0.1032475,0.034957,0.186968,0.5802156
Aurora_kinase_A_str_act_plus,ic50,ChemProp_DMPNN,0.012802,0.000722,0.02687,0.886468,0.012459,0.000755,0.027474,0.880027
Aurora_kinase_A_str_act_plus,ic50,MPNN_net,0.0137106,0.0011484,0.0338881,0.8194172,0.0145018,0.0013277,0.0364371,0.7889813
Aurora_kinase_A_str_act_plus,ic50,svm,,,,,0.0138784,0.0005618,0.023702,0.9107101
Aurora_kinase_A_str_act_plus,ic50,xgboost,,,,,0.012278,0.0256638,0.0256638,0.8953171
Aurora_kinase_A_str_act_plus,ic50,rf,,,,,0.0095664,0.0007844,0.0280071,0.8753273
Aurora_kinase_A_str_act_minus,ic50,ChemProp_DMPNN,0.15855,0.057957,0.240743,0.598249,0.158709,0.056725,0.23817,0.602774
Aurora_kinase_A_str_act_minus,ic50,MPNN_net,0.1614042,0.0729999,0.2701848,0.4939736,0.1541315,0.0680503,0.2608646,0.523465
Aurora_kinase_A_str_act_minus,ic50,svm,,,,,0.1354294,0.0555937,0.2357831,0.6106951
Aurora_kinase_A_str_act_minus,ic50,xgboost,,,,,0.1462216,0.0518123,0.2276231,0.6371749
Aurora_kinase_A_str_act_minus,ic50,rf,,,,,0.1276542,0.0501414,0.2239227,0.6488758
PDGFR_beta_str_act_plus,ic50,ChemProp_DMPNN,0.015119,0.001693,0.041144,0.628434,0.015231,0.001391,0.03729,0.685257
PDGFR_beta_str_act_plus,ic50,MPNN_net,0.0148243,0.0023424,0.0483979,0.485877,0.0131419,0.0010417,0.0322751,0.7642165
PDGFR_beta_str_act_plus,ic50,svm,,,,,0.0165122,0.001464,0.0382625,0.668621
PDGFR_beta_str_act_plus,ic50,xgboost,,,,,0.0170864,0.0018495,0.0430063,0.581359
PDGFR_beta_str_act_plus,ic50,rf,,,,,0.013497,0.0016911,0.0411232,0.617218
PDGFR_beta_str_act_minus,ic50,ChemProp_DMPNN,0.11595,0.041701,0.204209,0.713481,0.128797,0.040002,0.200005,0.731668
PDGFR_beta_str_act_minus,ic50,MPNN_net,0.1144436,0.0410407,0.202585,0.7180197,0.12436,0.0460202,0.2145232,0.6912967
PDGFR_beta_str_act_minus,ic50,svm,,,,,0.1026051,0.0360838,0.1899573,0.7579502
PDGFR_beta_str_act_minus,ic50,xgboost,,,,,0.1255546,0.0379871,0.1949029,0.7451824
PDGFR_beta_str_act_minus,ic50,rf,,,,,0.1054609,0.0373145,0.1931697,0.7496944
IGF1R_str_act_plus,ic50,ChemProp_DMPNN,0.010271,0.000482,0.021949,0.927171,0.009449,0.000553,0.023514,0.916415
IGF1R_str_act_plus,ic50,MPNN_net,0.012008,0.0009138,0.0302298,0.8618529,0.0110026,0.0006537,0.0255685,0.896205
